ox,oy,dx,dy
447126.21580273774,4422392.234446038,449603.9483967498,4422317.731388519
450390.3113455599,4421071.650120222,451677.8463287916,4420388.536014182
451143.4230009544,4420597.280580309,445896.8635536628,4420578.309142641
448648.67072619154,4420385.021264021,445942.95066962426,4419364.800201249
451516.5567317046,4421361.871086842,441435.21406225767,4414174.588856771
441433.9496776097,4414567.523722029,440565.56450726173,4419787.736547804
440534.3059338534,4420053.263057991,440508.67271182267,4422900.5439043185
440528.2268952705,4422998.0691319,454451.1078807417,4430033.546808104
454027.4977907298,4428002.66189328,456735.5844883131,4424769.055221518
454045.59213996225,4422653.718847529,455869.3066533583,4421022.4324563155
453119.5038498699,4420412.836262726,450455.55375703104,4421118.953659222
450494.6632518013,4421220.814799292,456609.76549869333,4417362.070819089
456388.30211689783,4417499.853951969,455818.1376812551,4414245.497875178
453442.99129395053,4415449.444258377,457017.78659809777,4420142.355262477
456957.9924792583,4420146.022252038,454450.50484335114,4419509.0519851195
454450.9886083254,4419590.074416871,453943.47870803205,4420314.581024866
453839.7587392649,4418706.909179324,454330.98138060665,4417814.896428049
454327.80817068456,4417855.982941582,454119.8163753248,4417666.321764568
453795.4360905115,4417597.242579121,441917.44200814026,4415622.733179693
440066.41182613873,4409092.718396017,438468.7533930867,4409954.512628193
438461.36511562025,4409993.420593414,439323.32718154934,4410353.932848065
439368.7963202725,4410369.111794056,441362.5060471444,4410826.41204712
441378.71356362343,4410931.733289657,443698.23368109035,4412802.33135932
446007.66791918955,4412801.212053067,456222.7335075477,4406038.671305099
453297.1938876258,4414957.525001619,443808.7558132921,4414106.819717198
443776.02463872003,4413726.347219204,444218.61673642986,4414019.460824943
444206.602962252,4414482.397924274,452126.3762592363,4419151.452642199
451782.9028898787,4419164.714952795,449714.97504175664,4418295.657606069
449728.32830643706,4418246.73209389,441882.3391595909,4435864.537562535
441658.7351525559,4436728.720021827,445853.9350793694,4425238.232416014
445807.87921079673,4425246.329795466,446823.44615519914,4420380.8797341585
446473.9030678727,4419886.064975643,450502.2518348949,4415274.8046960905
450561.68101774843,4417190.173943244,456854.2475019091,4404926.292413311
456882.61002637824,4405858.4540730035,457195.377916284,4413254.269876321
448373.66614262806,4427212.00313982,464356.65721991786,4436646.965517749
451134.413045263,4427049.48102543,431411.8694486879,4417680.078411558
431340.77329596836,4417664.067653958,439805.13613668515,4421755.022936088
439884.3504791012,4421724.428538632,439754.71829890856,4419482.1951320255
440510.72625198046,4420097.84574967,440043.5081787722,4419473.260231372
439906.74305030337,4419469.896411717,440167.14782285644,4421289.3138855
440188.26194186584,4421366.846384265,441191.0262988976,4422102.7268824475
441832.22679978225,4421267.549496047,440327.6280785292,4421597.738842213
440515.6891737372,4421500.811498654,442730.3240575432,4422874.644526803
443422.8574263793,4423186.922452361,464757.91790064925,4436576.274405522
466605.63607908896,4433680.961041928,437567.0095897282,4412907.660484221
437907.2844091016,4412888.239727533,439240.99150394363,4416999.934368776
440431.00127299066,4417437.873343064,439829.32593167137,4417129.581154623
440499.3279319102,4417101.020865459,429518.3860141832,4417680.67664831
